400_density,400_grad,800_density,800_grad,seeds,cx,cy
6876.1434243291815,63.461179193399296,11892.478412663486,29.431113194846063,4,6275,7475
9644.44803965379,33.206823081384556,14949.862688792487,37.74678607274459,4,6475,2075
8284.403287628154,48.48448564688392,13089.550839607622,33.69805402154609,4,6675,2675
7029.6194391928875,49.74820663931582,10228.001640269144,13.956716173486909,4,6675,5275
7327.825952174468,35.918695042043936,11707.105163343318,57.749596142686904,4,6875,1675
10991.106037215126,94.1563016425002,12798.916076372836,44.28680935577054,4,6875,7475
7018.116753431334,35.762572105325994,10950.773288609873,20.020503005295822,4,7075,5075
11213.711143313083,98.7942126522053,14731.010289322949,11.544991964895518,4,7075,6875
13135.952418810573,37.56520896683914,13849.515689682059,34.854643186713,4,7075,7275
6228.6165370510025,40.45894907807475,12016.60289152644,9.805182906383685,4,7275,2675
6041.869399325029,46.01388641166207,7900.691212290225,57.703964935562716,4,7475,1475
11161.469364593644,103.85550225366168,13320.986156101322,49.576746411548015,4,7475,7275
10621.9973816083,71.8862486198197,14924.292699272137,5.541103212971615,4,7675,6475
5486.776416604887,31.888996136237868,9140.586166184457,48.07168081998796,4,7875,2075
10108.321831288971,134.44512401336502,13871.734047384183,29.346243001928748,4,7875,3675
8216.816132251879,61.46268795706883,12940.486945681412,10.292484961564943,4,7875,4875
10140.724338499456,83.39486797761755,13841.050949892968,44.33110474410671,4,7875,6875
10670.70342543597,40.81305200921237,13808.061178663365,14.97685515980929,4,8075,4275
12389.519512186622,34.20533910784682,14489.920646502324,18.51032538157512,4,8075,6275
3975.720227464219,10.93133617514674,3864.733061622119,35.15157258630392,4,8075,8475
14927.597444008636,47.61770455906764,14451.430955561325,10.350089058589521,4,8275,3675
9177.490232145208,64.8193623347603,12846.459782977628,25.751218356428367,4,8275,4675
11853.819382367423,74.62430865909164,13747.930491503548,26.969419358958046,4,8275,5875
12242.818852862654,100.0781812484802,12518.491292688717,48.39407272170851,4,8475,3075
14672.803619870292,79.60896306328785,13899.854326002158,34.33040335074233,4,8475,3675
12411.816774538896,53.05782218698321,12988.213997491857,45.38910142718103,4,8475,6075
9378.670669570316,114.13604679923358,10498.285617931739,64.61327061232575,4,8675,2875
13378.714651581124,120.4733279517821,12680.411363066722,54.8067902070864,4,8675,3475
7517.400538157198,84.36203778873762,11102.471000115836,56.68620496010991,4,8675,5475
6706.7094804778135,89.39197897599519,9253.99158154741,72.17417669348882,4,8875,6475
6118.57996408475,43.380666431023336,10257.748085890018,71.10733895674417,7,1075,4875
7198.768305947086,74.80390902393732,12987.503534337437,94.97052174423735,7,1275,4075
9016.714689736395,73.5044843778669,12458.855105428702,66.88547258958354,7,1275,5475
9719.06511272293,132.1643823727146,15083.416800932551,104.49811605761421,7,1475,3475
11056.322102759701,63.47174435411816,13044.964862264464,61.06058887341689,7,1475,6675
9185.778152559844,98.74773466152102,9915.390949104987,68.61268052092944,7,1475,7275
6000.3764087900945,34.54893408399233,9013.025846535307,47.37946544358233,7,1675,2075
10972.495125860283,58.300050985865106,15094.47899981388,38.71873947077735,7,1675,5475
12138.981875959304,18.79153062847017,15506.58276058452,38.96185526855663,7,1675,6075
11923.470686741379,21.045118216352154,15281.900798751805,40.738219551519116,7,1675,6275
11286.436044642678,35.11208317787209,12173.975064506623,59.332116541526965,7,1675,7075
7656.036764732236,67.67413253187216,6533.6524814944505,38.399788716402895,7,1875,1075
6950.661087960654,31.48044529212465,13361.621160898556,76.47901424439618,7,1875,2675
