200_density,200_grad,400_density,400_grad,600_density,600_grad,800_density,800_grad,1000_density,1000_grad,1400_density,1400_grad,1800_density,1800_grad,2200_density,2200_grad,2600_density,2600_grad,seeds,cx,cy,dipole
11568.53985,126.8095507,10730.58754,18.11622991,10502.39555,16.85970552,10905.82576,16.21002485,11510.12875,21.21535039,12692.03893,26.36351368,13983.30364,30.45676957,15334.47052,33.12437715,16534.96085,33.47447059,3,8475,6675,0.222068718
10631.07381,199.9021953,10351.06231,132.3109002,10439.87768,48.86955004,10632.02629,5.678258665,10871.36142,14.56932494,11285.66936,25.33897524,11841.00745,29.10600553,12710.60766,31.57814366,13737.20205,32.42610395,3,8475,8075,0.041058171
10631.07381,199.9021953,10266.55678,136.710703,9547.300627,73.4751234,8798.511231,44.4554341,8523.761898,35.83379161,8773.104655,31.93407871,9430.547434,30.80515734,10365.58836,31.05595889,11458.52717,31.31777486,3,8475,8875,0.179386169
10438.16988,181.1610068,8964.007391,89.65872042,9356.412746,47.55180134,10200.3132,30.96039877,10960.42522,29.05033262,12047.03533,29.20002304,13108.74271,31.15784736,14313.54463,33.13216185,15473.14729,33.42143705,3,8675,6875,0.053789417
14592.55884,129.8077574,13753.27306,85.27813445,11559.28222,30.80560965,10510.38331,15.10409567,10214.15092,23.38206297,10330.67395,28.75957325,10797.15632,29.91987361,11601.72174,31.20696654,12605.25517,31.7734918,3,8675,8275,0.199330193
14592.55884,129.8077574,13739.73529,86.21437549,11240.69272,43.82925591,9708.98063,32.53871869,9125.306971,31.69957968,9137.871973,31.22643783,9658.149608,30.42396902,10494.13117,30.7761367,11523.78942,31.09389675,3,8675,8675,0.042042945
12075.04503,199.7197358,7466.418441,38.22867572,5530.457594,18.33175309,5147.793905,25.28056702,5485.245524,32.00584493,6496.619695,33.2687543,7437.405958,31.09990925,8477.488381,30.2553837,9632.300812,30.05632922,3,8875,1675,0.014057696
12075.04503,199.7197358,7478.318287,37.24411129,5670.757306,12.35169686,5473.795168,25.00473872,5926.77391,33.42335076,6971.399803,34.23987797,7914.521535,31.8703239,8971.148457,31.02117633,10138.2921,30.75572558,3,8875,1875,0.057336673
12075.72994,199.8025974,8052.553754,62.22362266,7496.539692,56.64152022,7846.696482,49.91676367,8483.834803,44.83280026,10262.18711,38.50696087,12247.65071,36.68591209,14039.99413,36.09271406,15486.42425,34.87166047,3,8875,5875,0.003765441
12097.16317,197.22251,8953.503429,35.45705927,8524.49774,50.12237401,8604.107368,46.5587856,9052.280984,43.13125162,10559.09341,37.6290302,12336.91929,35.92932,14011.80409,35.6019545,15405.37569,34.60940278,3,8875,6075,0.00832919
13709.74523,250.9957892,13125.87852,120.1658329,11040.90164,54.034185,9717.689309,35.45879883,9227.829874,32.82534289,9263.947801,31.49727777,9730.591403,30.36617238,10509.43295,30.60835639,11499.32533,30.90478192,3,8875,8475,0.578468397
7563.280455,75.18806135,7109.052064,94.8823756,7526.389224,67.53649424,7960.244531,48.92963389,8628.72355,41.79547545,10221.8483,40.26872125,11855.78134,40.83628911,13397.68919,40.2814038,14779.83754,38.79260593,4,1075,2475,0
8701.01618,109.1819095,7918.221699,68.89514458,7900.676929,58.03303517,8558.886785,52.82856563,9400.516076,47.95682287,11199.31004,43.8286743,13137.17708,42.87234256,15018.87404,41.95256032,16649.29923,40.222441,4,1075,4275,0
8600.046904,112.6712396,7383.771029,71.28789924,7642.883554,59.25953429,8316.126228,55.101015,9062.197179,50.07877623,10849.89456,44.87443504,12896.33946,43.33170269,14887.5083,42.22279052,16595.77687,40.41488827,4,1075,4675,0
7467.669229,77.65647581,5336.052426,43.65799109,5498.550516,46.15622743,6050.389664,44.34580149,6608.277893,41.0217946,7923.181426,39.24349567,9540.648667,39.70117165,11156.18397,39.07488086,12605.4298,37.55365865,4,1475,1075,0.070894834
7391.419336,80.1077443,4052.229848,11.13055214,3699.319347,24.35982014,4598.695581,33.69591112,5828.239995,36.06880752,8534.975939,39.51466031,10963.77628,40.64518295,12956.27619,39.99607146,14618.27527,38.66729465,4,1475,7275,0.022147349
12215.42188,211.5286674,10105.1095,72.54273588,10018.92534,21.69862189,10105.88807,15.63614194,10508.56061,24.91279752,11964.02639,36.83085792,13629.64987,40.76534518,15129.52275,40.78234914,16400.71229,39.19364003,4,1675,2075,0.011478973
13340.55873,130.760043,11265.05696,40.02156438,10322.10938,10.73421865,10287.37025,10.07591918,10801.66922,22.24867039,12446.08064,35.88794238,14164.40344,40.38554351,15667.13802,40.65930581,16926.97105,39.17899298,4,1675,2275,0.033464683
8779.225107,122.8860201,9316.479876,88.15776575,9546.847809,32.49537084,10110.22043,12.85330926,11086.65787,20.02463747,13203.64824,34.4433156,15053.42608,39.62194628,16590.84123,40.34406074,17853.11853,39.06988185,4,1675,2675,0.016949577
8361.018168,82.8096804,9688.90985,29.10007778,10896.96591,29.0189582,11630.93239,27.63285996,12379.71053,29.38398769,14219.68468,36.09116488,16245.47885,39.57404737,18121.91881,40.35452164,19636.71907,39.10339819,4,1675,4275,0.068545173
8146.966313,91.08037715,6797.067729,54.37727067,7657.859057,52.32149815,9276.612332,51.35681453,10859.91187,45.86576986,13625.2664,40.70756194,16113.46444,40.46769575,18258.93346,40.45957312,19924.70497,39.05219753,4,1875,5475,0.017983112
7468.3517,77.59203024,5773.773342,35.80352246,6679.472928,34.66263651,7705.537946,36.64756942,8649.604569,38.05784576,10518.05374,41.59687591,12363.7062,42.82170448,13978.1387,41.64387629,15318.70426,39.47905662,4,2075,1275,0.061129392
8901.960571,98.01210956,9338.077594,65.07684511,10399.4366,40.45710047,11744.07531,24.43612634,13163.03491,16.50532809,15837.99127,27.7595736,18153.75601,35.26185734,20064.72742,37.73004728,21487.80948,37.13280707,4,2075,4075,0.080800071
8221.937209,96.88604029,7615.350779,95.99971311,7425.937106,62.94320195,7538.920344,50.47636529,7879.744557,44.26130849,8718.981637,38.14089643,9894.87426,37.11562999,11251.27991,36.742767,12608.54324,35.99154623,4,2075,8675,0.003787297
7396.066116,79.75247762,5095.537739,23.47735251,6756.229251,32.14491915,9422.215949,18.68166798,12046.22477,6.686317986,16024.34576,24.38754271,18585.63898,33.71294974,20351.55937,36.7393556,21589.96338,36.46868268,4,2275,3275,0.018945521
8974.840247,62.66304068,9839.702856,37.04043067,11179.21254,24.22581332,12634.22912,13.4442484,13934.07095,12.88119736,16472.23327,26.0018787,18910.23133,33.51861082,20976.84135,36.40192379,22469.64464,35.98144175,4,2275,4475,0.11228161
8147.692591,91.00412269,6719.4875,56.14907947,7450.688841,45.23130113,9525.997931,46.46895422,11630.52623,42.04024396,14980.56317,36.22827256,17669.95286,37.02589084,19861.1127,38.09770712,21477.91481,37.24568183,4,2275,5675,0.04544652
8154.644791,90.20912931,8255.823357,38.15100802,10858.17535,13.38390026,12864.18496,8.89402391,14310.31316,15.42261944,16878.35073,25.44423321,19454.52538,31.99345581,21661.48978,35.09388112,23214.61813,34.82708551,4,2475,4875,0.119634052
7588.684743,75.79935974,7186.891529,76.8368128,8807.565141,43.99740352,9902.600688,32.21265897,10655.90033,29.05438376,12185.35058,33.6163236,13796.27422,37.51745958,15284.38157,38.48191176,16611.82082,37.89803233,4,2475,7875,0.337640582
12948.96359,150.5733592,11000.79948,26.54012735,9961.511989,28.17492853,9952.793557,36.02855507,10126.43137,36.17440339,10750.94793,36.22467095,11878.03779,37.65153888,13188.80971,37.87165717,14481.94449,37.15017959,4,2475,8475,0.260005096
7391.42177,80.10737396,4264.715741,12.87334627,4867.599654,17.01145406,7247.361659,15.21193347,10027.21847,21.64040798,14387.94505,31.5261717,17111.4512,35.24853789,19033.49627,37.05236038,20469.12021,36.88545939,4,2675,6875,0.011117294
12227.54725,206.8610197,10089.06998,71.03300987,10177.07138,24.24376834,10569.97297,31.43987217,10790.87945,32.80541125,11390.25025,35.09986129,12492.8114,37.47134166,13777.29085,37.97783911,15041.15389,37.3198801,4,2675,8475,0.751983852
7410.780669,79.15436409,5094.702917,29.98697171,6118.418521,39.43926498,8093.717338,45.92509716,10138.52736,48.03467051,13303.96687,47.1095439,15494.53031,45.28721235,17101.47481,42.91736965,18306.63443,40.15985647,4,3075,1275,0
9094.182035,136.8409546,10588.74574,96.65931632,11982.23457,43.89632652,13614.97066,25.8256536,15232.95628,13.50117035,18631.86686,10.9774952,22034.99509,21.04434551,24695.87052,26.40772951,26295.34545,27.14387813,4,3275,4875,0.485571549
10484.94078,182.0324407,9469.663041,106.5527282,10160.84478,71.40356197,11852.91531,48.40510659,14116.01064,32.23662402,18361.19938,23.36875445,21187.18086,29.04342799,22913.57185,32.49574998,23934.21396,32.84303798,4,3475,2475,0.041038581
7412.744571,79.017912,5781.886198,51.97417978,8194.450082,56.10971565,10569.23551,34.50020974,12492.85741,13.14259583,15394.4505,21.67585482,17420.16293,31.75693693,18974.84764,35.57723146,20201.39566,36.14915505,4,3475,7675,0.004055523
